"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/1991","1,165.90","1,157.59","1,165.90","1,151.51","","-0.75%"
"03/11/1991","1,174.72","1,171.23","1,174.72","1,158.55","","-1.37%"
"03/08/1991","1,191.05","1,156.90","1,191.05","1,154.88","","3.48%"
"03/07/1991","1,151.05","1,158.55","1,158.55","1,137.59","","-7.62%"
"03/05/1991","1,245.93","1,219.68","1,251.07","1,219.68","","1.67%"
"03/04/1991","1,225.44","1,200.43","1,231.29","1,191.13","","0.41%"
"02/28/1991","1,220.41","1,242.26","1,249.36","1,220.41","","-0.09%"
"02/27/1991","1,221.55","1,202.63","1,221.55","1,196.46","","1.36%"
"02/26/1991","1,205.20","1,191.36","1,219.68","1,191.36","","2.32%"
"02/25/1991","1,177.87","1,177.87","1,177.87","1,177.87","","-0.12%"
"02/22/1991","1,179.33","1,194.36","1,194.36","1,177.87","","2.26%"
"02/21/1991","1,153.29","1,170.21","1,170.82","1,147.14","","0.43%"
"02/20/1991","1,148.33","1,124.30","1,148.32","1,124.30","","-0.14%"
"02/19/1991","1,149.89","1,118.20","1,149.89","1,112.67","","10.61%"
"02/15/1991","1,039.60","1,028.55","1,039.78","1,028.55","","1.50%"
"02/14/1991","1,024.23","1,009.24","1,024.89","1,009.24","","1.92%"
"02/13/1991","1,004.94","1,006.15","1,014.28","1,002.88","","-0.84%"
"02/11/1991","1,013.50","1,015.55","1,016.11","1,010.35","","-1.62%"
"02/08/1991","1,030.23","1,037.50","1,038.35","1,030.23","","-0.89%"
"02/07/1991","1,039.45","1,045.91","1,045.91","1,023.17","","-2.11%"
"02/06/1991","1,061.87","1,079.99","1,079.99","1,056.67","","-0.79%"
"02/05/1991","1,070.29","1,064.84","1,074.46","1,062.06","","1.73%"
"02/04/1991","1,052.04","1,035.13","1,059.20","1,035.13","","2.94%"
"02/01/1991","1,021.95","987.11","1,021.95","983.23","","4.03%"
"01/31/1991","982.32","993.54","996.62","981.97","","2.74%"
"01/25/1991","956.11","966.31","966.31","947.14","","-1.61%"
"01/24/1991","971.80","991.28","991.28","967.69","","-2.95%"
"01/23/1991","1,001.38","1,014.36","1,014.36","998.77","","-1.61%"
"01/14/1991","1,017.72","1,012.80","1,017.98","1,004.91","","-1.60%"
"01/11/1991","1,034.30","1,000.51","1,034.30","997.04","","2.56%"
"01/09/1991","1,008.52","1,007.66","1,013.80","998.09","","-0.22%"
"01/07/1991","1,010.77","982.81","1,010.77","978.69","","2.89%"
"01/03/1991","982.35","983.51","989.08","981.08","","-1.69%"
"01/02/1991","999.26","1,027.38","1,027.38","999.26","","-4.68%"
